id,node_id,position
11826594,105929144,3
11826594,105030334,4
11826594,105929157,5
11826990,105097632,0
11826990,104930999,1
11826990,104991730,2
11826990,105935837,3
11827159,105938038,0
11827159,5317312521,1
11827159,105938047,2
11827159,5317312319,3
11827159,105012342,4
11827159,4599846710,5
11827159,105938052,6
11827705,105728402,0
11827705,104866075,1
11827705,105945661,2
11827705,105945672,3
11827705,105813843,4
11827705,104538530,5
11827705,105945682,6
11827705,105863914,7
11827705,105035320,8
11827705,105701930,9
11827705,104821845,10
11827705,105945693,11
11827705,105945700,12
11828354,105250566,0
11828354,105953900,1
11828354,105953906,2
11828855,105851904,0
11828855,104794669,1
11829418,4394848928,0
11829418,4394848927,1
11829418,4394848926,2
11829418,4394848925,3
11829418,4394848924,4
11829418,4394848923,5
11829418,4394848922,6
11829418,105968123,7
11829418,104501231,8
11830114,105976017,0
11830114,105976027,1
11830114,1025834016,2
11830114,1025834017,3
11830114,1025834019,4
11830114,1025834020,5
11830114,105816240,6
11830114,1025834023,7
11830114,1025834028,8
11830114,104586167,9
11830114,105976037,10
11830114,1025834034,11
11830114,1025834037,12
11830114,3224455054,13
11830114,1025834039,14
11830114,105976043,15
11830114,105917077,16
11830114,104550588,17
11830114,104550650,18
11830114,1025937906,19
11830114,105976050,20
11830114,1025937910,21
11830114,1025937912,22
11830114,105976062,23
11830114,105749724,24
11830114,105693004,25
11830114,1025937919,26
11830114,1025937874,27
11830114,105823586,28
11830114,1025937923,29
11830114,1025937930,30
11830114,1025937933,31
11830114,1025937939,32
11830114,1025937941,33
11830114,104841760,34
11830526,105917028,0
11830526,105198552,1
11830526,104706141,2
11830921,105985040,0
11830921,105042688,1
11830921,105139608,2
11830921,104576115,3
11830921,105035872,4
11830921,105985047,5
11830921,104913889,6
11830921,105098118,7
11830921,105246227,8
11831336,105816745,0
11831336,105989805,1
11831336,1734711312,2
11831739,105097510,0
11831739,2807996460,1
11831739,2807997912,2
11831739,2807996472,3
11831739,315293653,4
11831739,2807996479,5
11831739,315293654,6
11831739,2807997933,7
11831739,2807996493,8
11831739,315293655,9
11831739,315293656,10
11831739,105993576,11
11831739,315293689,12
11831739,315293690,13
11831739,2807997903,14
11831739,2807996495,15
11831739,315293691,16
11831739,105993582,17
11831739,2807996494,18
11831739,2807996475,19
11831739,2807996470,20
11831739,2807996496,21
11831739,105993588,22
11831739,315293692,23
11831739,105993598,24
11831739,2807997936,25
11831739,2807997907,26
11831739,2807996468,27
11831739,2807997904,28
11831739,2807996451,29
11832199,105998224,0
11832199,3151984861,1
11832199,3151984862,2
11832199,104619782,3
11832925,104361825,0
11832925,2993405877,1
11832925,2993405875,2
11832925,106007737,3
11832925,3724163078,4
11832925,2993405871,5
11832925,105937990,6
11832925,2993405870,7
11832925,104457394,8
11832925,104457407,9
11833187,105747907,0
11833187,3554484891,1
11833187,104872183,2
11833701,656071248,0
11833701,5251478570,1
11833701,5211571383,2
11833701,5211571386,3
11833701,1252520751,4
11833701,5211582793,5
11833701,5211582984,6
11833701,106021056,7
11833701,5211582942,8
11833701,5211582989,9
11833701,104597581,10
11833701,4073396857,11
11833701,106021069,12
11833701,4073396858,13
11833701,106021079,14
11833701,104968252,15
11834129,104728832,0
11834129,2142352430,1
11834129,104774903,2
11834129,104934179,3
11834129,104838060,4
11834129,105994136,5
11834129,105174988,6
11834129,105852068,7
11834129,105945672,8
11834129,104838978,9
11834129,104670458,10
11834358,105131934,0
11834358,105977039,1
11834358,105755340,2
11834698,105774811,0
11834698,104617746,1
11834698,1025864459,2
11834698,105880503,3
11834698,1025864460,4
11835049,105185717,0
11835049,104935933,1
11835049,105067699,2
11835049,412445627,3
11835049,412445624,4
11835296,105087962,0
11835296,2296278349,1
11835296,3625665410,2
11835296,106050295,3
11835496,106044406,0
11835496,106053903,1
11835496,105731504,2
11835496,105742112,3
11835496,106041333,4
11835496,1252057867,5
11835496,104843926,6
11835496,105773556,7
11836017,105254676,0
11836017,3772211878,1
11836017,3772211881,2
11836017,104551658,3
11836547,106070876,0
11836547,105754672,1
11836547,104647883,2
11836877,106075694,0
11836877,1254863483,1
11836877,1254864000,2
11836877,106075699,3
11836877,1254863660,4
11836877,104356667,5
11836877,104361531,6
11836877,106075711,7
11837579,105097696,0
11837579,1727278779,1
11837579,303450486,2
11837579,303450487,3
11837579,106087409,4
11837579,281362581,5
11837579,1703822565,6
11837579,104625425,7
11837579,1703822564,8
11837579,1704985423,9
11837579,303450466,10
11837579,2522985565,11
11837579,105013433,12
11838299,106096623,0
11838299,106096633,1
11838299,106096640,2
11838299,105782262,3
11838669,106101174,0
11838669,106021014,1
11839455,4064420416,0
11839455,105930210,1
11839774,106115034,0
11839774,104597461,1
11839774,105877419,2
11839774,105681426,3
11839774,106115071,4
11839774,105108939,5
11839774,106115078,6
11839774,104867404,7
11840437,4064420401,0
11840437,1253650568,1
11840437,1253650351,2
11840437,1253650358,3
11840437,106123296,4
11840437,104982614,5
11840437,1253650475,6
11840437,106123306,7
11840437,1253650395,8
11840437,1253650301,9
11840437,1253650478,10
11840437,1253650294,11
11840437,1253650291,12
11840437,1253650269,13
11840437,1253650308,14
11840437,106123314,15
11840437,1253650391,16
11840437,1253650445,17
11840437,1253650459,18
11840437,1253650390,19
11840437,1253650268,20
11840437,1253650381,21
11840437,106123339,22
11840437,104762926,23
11841030,106016703,0
11841030,106130334,1
11841030,105873488,2
11841030,2877113175,3
11841030,106070957,4
11851966,104893785,0
11851966,106316099,1
11852480,105254547,0
11852480,106322397,1
11852480,3867424608,2
11852480,3637865680,3
11852480,1252582528,4
11852480,1252582206,5
11853099,1808934923,0
11853099,104244939,1
11853099,2993405897,2
11853099,104459146,3
11853330,105198542,0
11853330,105083057,1
11853330,106332026,2
11853330,104571437,3
11853330,106114315,4
11853330,105072465,5
11853330,105121850,6
11853330,105170233,7
11853330,106332030,8
11853330,106327497,9
11853330,106332037,10
11853330,105178730,11
11853330,104942007,12
11853330,105041683,13
11853330,1025880129,14
11853330,1025880130,15
11853330,1025880131,16
11853330,1025880134,17
11853330,1025879356,18
11853330,106332050,19
11853330,1025880140,20
11853330,1025880141,21
11853330,105757448,22
11853330,1025880142,23
11853330,1025880144,24
11853330,105259012,25
11853330,1025880146,26
11853330,105854316,27
11853330,104842084,28
11853330,104641780,29
11853330,105139375,30
11853330,105169913,31
11853330,1640714650,32
11853330,105093548,33
11853330,1026040344,34
11853330,106332059,35
11853330,105691696,36
11853330,106332072,37
11853330,106027150,38
11853330,105725926,39
11853330,106332082,40
11853330,105944047,41
11853330,104568340,42
